Temperature,Pressure,Si_pfu_[Bt],xTi_[Bt],Mg#_[Bt],x_ab_[Pl],x_tts_[Amp],Na_M4_[Amp],Ed_[Amp],Ts_[Amp],Al_pfu_[Cpx],Mg#_[Cpx],Ca_[Cpx],xjd_tot_[Cpx]
622.7272727,2888.888889,2.893139162,0.113997497,0.534545522,0.541532451,0.029044784,0.037728077,0.445038779,1.059315169,0,0,0,0
624.7474747,2888.888889,2.893209814,0.11495623,0.534491397,0.541097117,0.02930262,0.037621111,0.445318301,1.057158141,0,0,0,0
626.7676768,2888.888889,2.893232598,0.115998927,0.534482535,0.540696104,0.029639574,0.037535044,0.445931365,1.056062288,0.014068643,0.587206593,0.887806812,0.014068643
628.7878788,2888.888889,2.893222832,0.117187941,0.534558933,0.54029406,0.030080073,0.037483626,0.446915228,1.05614204,0.014089047,0.58685295,0.887685152,0.014089047
630.8080808,2888.888889,2.893798344,0.118397745,0.535052412,0.539243367,0.03041491,0.037254962,0.445823803,1.050797817,0.014135346,0.587361967,0.888235531,0.014135346
632.8282828,2888.888889,2.894368467,0.119615162,0.535586929,0.538196915,0.030754755,0.037031019,0.444733055,1.045434243,0.014183891,0.587783923,0.888790149,0.014183891
634.8484848,2888.888889,2.894941642,0.120840586,0.536129348,0.537165069,0.031097335,0.036807541,0.443664009,1.040132168,0.014232047,0.588241703,0.889333321,0.014232047
636.8686869,2888.888889,2.895498898,0.122070178,0.53667361,0.536148383,0.031442472,0.036587958,0.442613179,1.034862863,0.014279396,0.58870918,0.889879711,0.014279396
638.8888889,2888.888889,2.896047111,0.123305477,0.537237219,0.535141419,0.031791533,0.036372115,0.441577444,1.029614211,0.014330447,0.58911641,0.890406024,0.014330447
640.9090909,2888.888889,2.896634655,0.124554274,0.537754526,0.534150757,0.03213882,0.036154297,0.440603408,1.024546393,0.014377938,0.589614453,0.890935915,0.014377938
642.9292929,2888.888889,2.897193278,0.125805446,0.538324014,0.533176625,0.03249422,0.035937385,0.439646496,1.019503113,0.014427447,0.590080184,0.891456863,0.014427447
644.9494949,2888.888889,2.897746553,0.127060684,0.538880975,0.532213736,0.032852302,0.035726631,0.438744642,1.014546724,0.014477585,0.590552396,0.891970631,0.014477585
646.969697,2888.888889,2.898291787,0.128321678,0.539444597,0.531269535,0.033213908,0.035515045,0.437869917,1.009671422,0.014527683,0.591023839,0.892483736,0.014527683
648.989899,2888.888889,2.898838949,0.129590928,0.540019823,0.530330374,0.033577905,0.035306945,0.436998134,1.004804853,0.014578319,0.591492263,0.892989188,0.014578319
651.010101,2888.888889,2.89937625,0.130865661,0.540592218,0.529412357,0.033944268,0.035097032,0.436146584,1.000022675,0.014627878,0.591988573,0.893492758,0.014627878
653.030303,2888.888889,2.899921813,0.132149419,0.541163335,0.528485981,0.034310597,0.034898333,0.435289071,0.995186905,0.01467872,0.592439369,0.893996987,0.01467872
655.0505051,2888.888889,2.900458827,0.133440839,0.541784286,0.527579539,0.034684205,0.03469251,0.434438809,0.990420947,0.014729625,0.592904304,0.894492665,0.014729625
657.0707071,2888.888889,2.900978511,0.134734763,0.542366827,0.526681397,0.035056215,0.034495801,0.433599668,0.985659706,0.014780555,0.593413081,0.894969216,0.014780555
659.0909091,2888.888889,2.901519824,0.136041169,0.54296734,0.52580792,0.035432063,0.034287791,0.432793825,0.981070245,0.014829855,0.593900335,0.895468002,0.014829855
661.1111111,2888.888889,2.902049021,0.137352645,0.543571745,0.524933125,0.035809512,0.034089009,0.431982643,0.976435267,0.014879735,0.594409217,0.895950193,0.014879735
663.1313131,2888.888889,2.90256709,0.138669942,0.544195813,0.524070085,0.036190904,0.03389081,0.431176562,0.971828369,0.014929172,0.59492243,0.896432819,0.014929172
665.1515152,2888.888889,2.903088558,0.1399953,0.544820209,0.523215889,0.036574064,0.033694172,0.430384702,0.96727144,0.014979296,0.595425793,0.896909926,0.014979296
667.1717172,2888.888889,2.903608044,0.141327514,0.545443797,0.522369206,0.036958654,0.0335002,0.429604459,0.962751738,0.015029114,0.59594821,0.897380688,0.015029114
669.1919192,2888.888889,2.90412356,0.1426666,0.546077163,0.521531991,0.037346117,0.033308126,0.428834611,0.958267494,0.015079976,0.596439349,0.897850955,0.015079976
671.2121212,2888.888889,2.904633553,0.144012449,0.546728217,0.520702754,0.037737296,0.033117338,0.428067403,0.953801467,0.015129355,0.596980911,0.898314566,0.015129355
673.2323232,2888.888889,2.905140382,0.145365021,0.547383546,0.519883438,0.038130349,0.032926924,0.427317827,0.949401035,0.015179273,0.597496741,0.898780658,0.015179273
675.2525253,2888.888889,2.905655714,0.146727023,0.548046647,0.519067691,0.03852593,0.032739451,0.426577278,0.945026757,0.015228826,0.598038788,0.899238458,0.015228826
677.2727273,2888.888889,2.905230953,0.148002396,0.551532439,0.514830869,0.038800147,0.032364633,0.427126465,0.945399208,0.015187705,0.600919417,0.899661234,0.015187705
679.2929293,2888.888889,2.904527512,0.149257688,0.555927233,0.509650137,0.039032945,0.031948591,0.428048679,0.947137267,0.015118193,0.604537412,0.900052566,0.015118193
681.3131313,2888.888889,2.903836326,0.150523755,0.560338116,0.504628394,0.039263833,0.031551072,0.42893692,0.948748143,0.015049464,0.608144347,0.900419135,0.015049464
683.3333333,2888.888889,2.903150887,0.151794835,0.564724676,0.499808475,0.039495398,0.031165289,0.429799969,0.950289664,0.014980879,0.611723794,0.900773435,0.014980879
685.3535354,2888.888889,2.90247458,0.15307381,0.569111064,0.495145545,0.039726129,0.030796751,0.430640282,0.95173255,0.014912617,0.615277863,0.901113117,0.014912617
687.3737374,2888.888889,2.901807598,0.154360951,0.573498871,0.490619557,0.039957711,0.030440796,0.43146452,0.953116308,0.014846436,0.618834793,0.901408659,0.014846436
689.3939394,2888.888889,2.901145128,0.155653232,0.577845614,0.486268524,0.04018846,0.030102981,0.432268289,0.954399749,0.014779664,0.622345178,0.901707109,0.014779664
691.4141414,2888.888889,2.900493217,0.15695484,0.582205343,0.482024081,0.040420009,0.029780686,0.433067798,0.955628535,0.01471445,0.625843519,0.901972388,0.01471445
693.4343434,2888.888889,2.899845971,0.158262024,0.586528186,0.477934335,0.0406541,0.029466964,0.433859853,0.956838135,0.014649403,0.629306117,0.90222838,0.014649403
695.4545455,2888.888889,2.899201967,0.159573982,0.590804587,0.474002878,0.040892589,0.029153722,0.43464088,0.958070161,0.014584238,0.632728783,0.902479997,0.014584238
697.4747475,2888.888889,2.899464361,0.160426652,0.591429181,0.473645797,0.041129195,0.029030834,0.434393701,0.954906034,0.01461905,0.633154459,0.902723795,0.01461905
699.4949495,2888.888889,2.899798196,0.161242927,0.591742234,0.473613205,0.041369671,0.028915903,0.434069694,0.951461756,0.014661044,0.633292416,0.902990439,0.014661044
701.5151515,2888.888889,2.900141456,0.162058518,0.592033796,0.473565228,0.041610273,0.028810365,0.433759403,0.948006896,0.014704476,0.633456496,0.903227513,0.014704476
703.5353535,2888.888889,2.900475041,0.162879515,0.592341501,0.473524749,0.041854707,0.028700498,0.433453701,0.944604205,0.014747524,0.633593374,0.903474891,0.014747524
705.5555556,2888.888889,2.900816783,0.163700295,0.592630729,0.473479253,0.04210057,0.028593131,0.43316933,0.941260758,0.014789965,0.633760568,0.903713484,0.014789965
707.5757576,2888.888889,2.901137832,0.164528262,0.592940266,0.473443884,0.042350548,0.028481444,0.432888199,0.937964876,0.01483234,0.633889063,0.903963178,0.01483234
709.5959596,2888.888889,2.901465295,0.165356885,0.593237789,0.47340466,0.042602293,0.028372331,0.432621123,0.934705139,0.014874345,0.634035318,0.904206225,0.014874345
711.6161616,2888.888889,2.901443206,0.165696493,0.588477572,0.457841199,0.043120032,0.027221055,0.431401577,0.935991631,0.014791068,0.631609386,0.90669089,0.014791068
